Bigram-2 Words
shocking song
song pro-war
pro-war rally
rally attended
attended mentioning
mentioning following
following nation
nation region
region belonging
belonging state
state state
state security
security service
service kidnapped
kidnapped home
home journalist
journalist physicist
physicist progressive
progressive yuri
yuri neutral
neutral observer
observer war
war whose
whose sole
sole fault
fault cheerlead
cheerlead regime
regime loved
loved ukraine
ukraine good
good morning
morning brave
brave ukraine
ukraine sending
sending strength
strength read
read university
university florida
florida removed
removed karl
karl marx
marx study
study hall
hall russian
russian invasion
invasion true
true milestone
milestone history
history stupidity
stupidity pity
pity alive
alive write
write highest
highest stage
stage video
video president
president zelenskys
zelenskys women
women tied
tied pole
pole flogged
flogged first
first time
time dropped
dropped parachute
parachute bomb
bomb blockbuster
blockbuster prob
prob rocket
rocket launcher
launcher reason
reason uk
uk need
need go
go aid
aid historical
historical justice
justice ukraine
ukraine england
england century
century denying
denying national
national identity
identity language
language culture
culture self-determination
self-determination respect
respect decision
decision lithuanian
lithuanian church
church condemn
condemn invasion
invasion archbishop
archbishop innokentiy
innokentiy vilnius
vilnius said
said also
also determined
determined seek
seek independence
independence moscow
moscow statement
statement discus
discus possibility
possibility using
using asset
asset sanctioned
sanctioned oligarch
oligarch finance
finance post-war
post-war reconstruction
reconstruction effort
effort report
report signalsillusion
signalsillusion art
art information
information age
age two
two modern
modern russian
russian t-b
t-b obr
obr tank
tank destroyed
destroyed outskirt
outskirt recently
recently yemen
yemen upset
upset worried
worried ukrainian
ukrainian child
child shelter
shelter worried
worried child
child know
know human
human border
border control
control officially
officially gave
gave ambassador
ambassador piece
piece silver
silver border
border control
control comparing
comparing inhumane
inhumane monstrous
monstrous assault
assault grotesque
grotesque insensitive
insensitive crass
crass also
also sound
sound drunk
drunk stumble
stumble delivering
delivering repulsive
repulsive claimsbrexit
claimsbrexit russian
russian offensive
offensive destabilise
destabilise west
west bomb
bomb land
land slow
slow motion
motion mean
mean look
look extent
extent fabrication
fabrication news
news video
video justice
justice reduced
reduced failed
failed state
state known
known think
think there's
there's global
global medium
medium machine
machine work
work push
push political
political narrative
narrative please
please tell
tell picture
picture riot
riot revolution
revolution one
one taken
taken reuters
reuters ran
ran russian
russian state
state medium
medium one
one taken
taken nytimes
nytimes subscribers
subscribers report
report donate
donate suvs
suvs need
need territorial
territorial defense
defense empty
empty filled
filled humanitarian
humanitarian aid
aid civilian
civilian rubizhne
rubizhne severodonetsk
severodonetsk popasna
popasna lysychansk
lysychansk evacuated
evacuated bus
bus today
today thank
thank president
president biden
biden secretary
secretary blinken
blinken behind
behind scene
scene people
people working
working tirelessly
tirelessly world
world comin
comin hot
hot today
today well
well put
put together
together attack
attack hospitals
hospitals ruin
ruin city
city south
south want
want million
million people
people forced
forced flee
flee due
due putin's
putin's 
 million
million child
child refugee
refugee many
many others
others elderly
elderly incoming
incoming ukrainian
ukrainian refugee
refugee today
today mostly
mostly lviv
lviv yesterday's
yesterday's russian
russian missile
missile attack
attack city
city volunteers
volunteers trying
trying cheer
cheer child
child best
best way
way considering
considering circumstance
circumstance asking
asking citizen
citizen world
world complete
complete boycott
boycott product
product swiss
swiss food
food conglomerate
conglomerate continues
continues provide
provide essential
essential product
product despite
despite mounting
mounting pressure
pressure peer
peer cut
cut tie
tie graphic
graphic ukrainian
ukrainian soldier
soldier document
document burial
burial russian
russian soldier
soldier mass
mass grave
grave dear
dear worldcommunity
worldcommunity please
please remember
remember giving
giving support
support dont
dont wait
wait nigeria
nigeria finish
finish killing
killing biafran
biafran people
people support
support cant
cant reply
reply united
united nations
nations amnesty
amnesty dont
dont know
know stand
stand thanks
thanks kal
kal afrorock
afrorock laptop
laptop story
story story
story hunter
hunter story
story joe
joe biden
biden president
president united
united states
states biden
biden converted
converted son
son bag
bag man
man collect
collect split
split million
million graft
graft took
took doling
doling political
political favor
favor remains
remains near
near aegis
aegis joint
joint forces
forces operation
operation position
position force
force looking
looking increasingly
increasingly precarious
precarious advance
advance encircle
encircle two
two ax
ax general
general andrey
andrey mordvichev
mordvichev dead
dead burn
burn hell
hell mf
mf want
want live
live people
people people
people world
world help
help world
world focus
focus family
family ethiopia
ethiopia face
face remain
remain forgotten
forgotten ic
ic according
according child
child five
five almost
almost two-third
two-third pregnant
pregnant breastfeeding
breastfeeding woman
woman malnourished
malnourished week
week home
home office
office followed
followed excellent
excellent start
start sending
sending email
email displaced
displaced people
people asking
asking head
head war
war zone
zone attend
attend application
application appointment
appointment uk
uk centre
centre mile
mile home
home visa
visa centre
centre shut
shut thread
thread us
us strategy
strategy used
used attacking
attacking fleeing
fleeing civilian
civilian controlling
controlling humanitarian
humanitarian corridor
corridor bombing
bombing hospital
hospital spreading
spreading disinformation
disinformation useful
useful insight
insight ruin
ruin city
city south
south difference
difference concern
concern action
action poland
poland czech
czech baltic
baltic stunning
stunning contrast
contrast western
western european
european country
country aside
aside uk
uk skin
skin game
game europe
europe pretend
pretend beyond
beyond putin's
putin's reach
reach sad
sad guardian
guardian showed
showed gruesome
gruesome footage
footage mariupol
mariupol day
day shelling
shelling russians
russians waiting
waiting line
line good
good allegedlyah
allegedlyah ussr
ussr return
return face
face new
new reality
reality security
security due
due illegal
illegal invasion
invasion response
response reinforced
reinforced defensive
defensive presence
presence eastern
eastern part
part alliance
alliance troop
troop plane
plane shipsheres
shipsheres overview
overview family
family rescued
rescued hour
hour emergency
emergency rescue
rescue support
support team
team contact
contact email
email ukrainerescuecomphone
ukrainerescuecomphone call
call text
text another
another intercept
intercept near
near nothing
nothing week
week mean
mean gone
gone wont
wont surrender
surrender cut
cut pows
pows ear
ear broke
broke finger
finger think
think theyd
theyd treat
treat better
better eye
eye focused
focused intl
intl community
community must
must also
also remember
remember ppl
ppl killed
killed one
one first
first commercial
commercial fisherman
fisherman respond
respond exxon
exxon valdez
valdez oil
oil spill
spill lost
lost livelihood
livelihood result
result hell
hell yes
yes favor
favor windfall
windfall profit
profit tax
tax oil
oil company
company exxon
exxon oil
oil company
company always
always put
put profit
profit what's
what's right
right low
low tasteless
tasteless get
get never
never expected
expected putin
putin either
either screaming
screaming speechlesshe
speechlesshe lost
lost war
war country
country million
million people
people estimated
estimated internally
internally displaced
displaced within
within updated
updated ukraine
ukraine data
data explorer
explorer latest
latest data
data iom
iom eye
eye focused
focused intl
intl community
community must
must also
also remember
remember ppl
ppl killed
killed office
office metro
metro threatened
threatened ukraine
ukraine blockade
blockade supply
supply due
due pressure
pressure leave
leave russia
russia say
say former
former cabinet
cabinet minister
minister dmytro
dmytro dubiletmetro
dubiletmetro belief
belief sale
sale effect
effect war
war remain
remain safe
safe way
