No of words,Polysemy Detected words based on Wordnet 
1,lamb
2,palestinians
3,retired
4,sure
5,solemnity
6,lend-lease
7,jack
8,waging
9,thou
10,drive
11,communicate
12,casualties
13,crowd
14,damaged
15,criticize
16,hundred
17,harbinger
18,launch
19,mankind
20,alert
21,bucharest
22,device
23,temples
24,ross
25,buster
26,army
27,farmers
28,zero
29,followed
30,ultimately
31,strongly
32,kazakhstan
33,borders
34,stocking
35,neighbourhood
36,heavily
37,wear
38,missing
39,relationship
40,rich
41,grain
42,quisling
43,detonate
44,range
45,faced
46,crude
47,thrown
48,silent
49,hatred
50,top
51,cargo
52,govern
53,foster
54,instead
55,exiting
56,put
57,wound
58,friday
59,everywhere
60,haunted
61,deceased
62,garbage
63,anniversary
64,conducted
65,combined
66,impacting
67,anthony
68,carol
69,slowly
70,ruling
71,extremely
72,bombing
73,racism
74,fabrication
75,searched
76,significant
77,browne
78,asian
79,king
80,moderate
81,kazakh
82,echoes
83,background
84,percolation
85,reset
86,academic
87,lining
88,guess
89,machine
90,offered
91,produced
92,booster
93,spending
94,expo
95,rushing
96,lacking
97,grandma
98,baked
99,theatre
100,intriguing
101,hottest
102,airforce
103,dark
104,profit
105,creates
106,awaits
107,rebuild
108,deems
109,fired
110,invading
111,fluid
112,express
113,single
114,commentary
115,fatigue
116,case
117,storming
118,emphasis
119,relatively
120,tanks
121,mobilized
122,alongside
123,west
124,pay
125,expert
126,vulnerability
127,prove
128,serviceman
129,appears
130,exposed
131,apart
132,eastward
133,pleasure
134,camp
135,obligation
136,resolution
137,familiar
138,sadly
139,cartoon
140,nazi
141,deal
142,gain
143,monetize
144,deep
145,bullshit
146,far-right
147,rescuer
148,copy
149,drunk
150,controller
151,mean
152,grid
153,perfectly
154,spike
155,grateful
156,remains
157,brighter
158,keeps
159,one
160,putting
161,ride
162,rising
163,appeasement
164,imbecile
165,bridge
166,snapshot
167,unfolding
168,tired
169,pound
170,airline
171,asked
172,terrorizing
173,differ
174,enterprise
175,loud
176,handle
177,patriotic
178,altitude
179,b
180,plan
181,panicked
182,section
183,ew
184,remember
185,chose
186,realistic
187,vivid
188,improving
189,lucky
190,feat
191,verified
192,window
193,approximate
194,seem
195,whiskey
196,mobile
197,chewing
198,remain
199,door
200,parallel
201,corporation
202,wrestler
203,poor
204,institution
205,initiating
206,soothing
207,soar
208,spy
209,bestial
210,financial
211,reporter
212,luck
213,husband
214,tall
215,enemy
216,neck
217,retaliation
218,lack
219,blunder
220,facilitated
221,study
222,converted
223,grew
224,besiege
225,presidency
226,gulf
227,bravery
228,noted
229,language
230,extreme
231,flux
232,beleaguered
233,looted
234,diversified
235,molly
236,recklessness
237,hacked
238,reducing
239,ed
240,airway
241,petersburg
242,exchange
243,axs
244,heating
245,disastrous
246,contribute
247,usually
248,supposedly
249,peacekeeping
250,period
251,defender
252,mm
253,dominated
254,special
255,material
256,broke
257,defies
258,number
259,virtually
260,il
261,nonsensical
262,fundraising
263,repudiation
264,roll
265,race
266,commemorate
267,instrumental
268,silently
269,tyrant
270,dignity
271,burn
272,r
273,hence
274,faked
275,latest
276,activists
277,democrats
278,may
279,details
280,tearing
281,pilot
282,liberals
283,despite
284,clarity
285,skill
286,agriculture
287,thanked
288,entry
289,lose
290,act
291,financing
292,notes
293,london
294,shamed
295,unsung
296,patriotism
297,course
298,passage
299,shown
300,electricity
301,sorting
302,hopeful
303,sitting
304,marked
305,french
306,effect
307,enough
308,george
309,feature
310,text
311,wank
312,following
313,dropped
314,month
315,lasted
316,mistake
317,infrastructure
318,walk
319,crashed
320,honoured
321,discussing
322,arranged
323,bod
324,jacket
325,brightly
326,reluctant
327,bs
328,living
329,gearing
330,coordinated
331,boom
332,modelled
333,profession
334,tirelessly
335,relentless
336,away
337,rob
338,confirm
339,sun
340,zoom
341,sharp
342,bit
343,beast
344,besides
345,lighting
346,marx
347,participate
348,mental
349,supplication
350,agricultural
351,designer
352,caffeine
353,guard
354,glaring
355,paratrooper
356,stockpile
357,begging
358,savage
359,worst
360,mach
361,rational
362,established
363,breaking
364,directed
365,frustration
366,recognises
367,blackness
368,analyst
369,dispatched
370,dedicates
371,soul
372,upset
373,implications
374,speak
375,anonymous
376,withheld
377,clear
378,bottom
379,generation
380,researcher
381,lies
382,woman
383,iraq
384,voting
385,taste
386,closing
387,creature
388,spread
389,reserved
390,catastrophic
391,apologise
392,kiwi
393,genesis
394,inspect
395,gave
396,released
397,eliminated
398,crime
399,shipped
400,host
401,apartment
402,therefore
403,direct
404,expecting
405,israels
406,fiery
407,drop
408,sad
409,pretending
410,received
411,snapping
412,constant
413,exclusive
414,grit
415,victim
416,commandment
417,end-to-end
418,boost
419,betrayed
420,kept
421,preemie
422,impounded
423,perhaps
424,stanley
425,peerless
426,wife
427,official
428,intension
429,attitude
430,comparing
431,telecast
432,surpassed
433,republican
434,gibberish
435,tribunal
436,projectile
437,specific
438,third
439,kid
440,described
441,citing
442,cruelty
443,atypical
444,saints
445,mickey
446,boo
447,tour
448,initiative
449,theorist
450,trump
451,different
452,harm
453,flogged
454,traffic
455,shelf
456,rut
457,abroad
458,volunteers
459,intentional
460,hidden
461,communist
462,movie
463,n
464,boasted
465,criminals
466,knocked
467,misled
468,items
469,tally
470,resource
471,polled
472,fm
473,along
474,violated
475,deaths
476,hell
477,closer
478,celebrate
479,tech
480,day
481,related
482,rushed
483,fire
484,days
485,brothers
486,car
487,discussed
488,security
489,sanction
490,buttons
491,coward
492,carry
493,firing
494,paper
495,exchanging
496,hours
497,swept
498,tumour
499,yellow
500,jail
501,juggernaut
502,neutrality
503,buzzing
504,compelling
505,magnificent
506,invade
507,platform
508,alarming
509,refuses
510,born
511,kick
512,cathedral
513,programming
514,trauma
515,distinguishing
516,rabid
517,logic
518,identified
519,nimble
520,lately
521,inspiration
522,step-by-step
523,prisoner
524,corruption
525,coming
526,rejected
527,democracies
528,conversion
529,unnecessary
530,elected
531,ready
532,store
533,depleted
534,crooner
535,prisoners
536,say
537,proves
538,damage
539,symbolizes
540,lecture
541,perverted
542,spite
543,responsibility
544,mention
545,implemented
546,spa
547,obtained
548,hungarian
549,journalist
550,follow
551,blog
552,moon
553,interruption
554,tainted
555,viewpoint
556,anthrax
557,donations
558,young
559,status
560,eliot
561,pass
562,production
563,perpetrated
564,means
565,georgia
566,registration
567,mohammed
568,gathering
569,shine
570,mayor
571,please
572,shield
573,translated
574,rid
575,blackmailing
576,herald
577,reduced
578,terrorism
579,preparing
580,throwing
581,second
582,outskirt
583,aimed
584,prepare
585,channel
586,criminal
587,planned
588,inflation
589,music
590,finalizing
591,static
592,complimentary
593,sink
594,producing
595,forward
596,borodin
597,degree
598,saboteur
599,undeterred
600,framework
601,sake
602,longer
603,becoming
604,grove
605,medic
606,told
607,arms
608,fooled
609,match
610,glorious
611,nonsense
612,winter
613,screen
614,institute
615,recall
616,satisfactory
617,hit
618,hope
619,loaded
620,playing
621,felt
622,responds
623,putins
624,meadows
625,impose
626,save
627,care
628,fans
629,red
630,war-torn
631,card
632,elderly
633,speechless
634,dump
635,unicef
636,enjoy
637,screening
638,slowest
639,shade
