Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
prepared,"('cook', 'fix', 'ready', 'make', 'prepare')",Polysemy,prepare for eating by applying heat,cook.v.02
downtown,"('business_district', 'downtown')",Polysemy,the central area or commercial center of a town or city,business_district.n.01
sanctioned,"('approved', 'sanctioned')",Polysemy,established by authority; given authoritative approval,approved.s.01
experiencing,"('have', 'experience')",Polysemy,undergo,have.v.11
turned,"('call_on', 'turn')",Polysemy,have recourse to or make an appeal or request for help or information to,call_on.v.01
rice,"('rice',)",Not a Polysemy,annual or perennial rhizomatous marsh grasses; seed used for food; straw used for paper,rice.n.02
sign,"('sign', 'ratify')",Polysemy,"approve and express assent, responsibility, or obligation",sign.v.02
study,"('study', 'work')",Polysemy,applying the mind to learning and understanding a subject (especially by reading),study.n.02
taking,"('take', 'occupy', 'use_up')",Polysemy,require (time or space),take.v.02
flags,"('masthead', 'flag')",Polysemy,"a listing printed in all issues of a newspaper or magazine (usually on the editorial page) that gives the name of the publication and the names of the editorial staff, etc.",masthead.n.01
broken,"('break_in', 'break')",Polysemy,"make submissive, obedient, or useful",break_in.v.06
conducting,"('conduct', 'lead', 'direct')",Polysemy,"lead, as in the performance of a composition",conduct.v.02
feed,"('feed',)",Not a Polysemy,support or promote,feed.v.05
guards,"('guard',)",Not a Polysemy,to keep watch over,guard.v.01
lion,"('lion', 'king_of_beasts', 'Panthera_leo')",Polysemy,large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male,lion.n.01
dangerous,"('dangerous', 'unsafe')",Polysemy,involving or causing danger or risk; liable to hurt or harm,dangerous.a.01
run,"('run', 'flow', 'feed', 'course')",Polysemy,"move along, of liquids",run.v.06
ensign,"('ensign',)",Not a Polysemy,a person who holds a commissioned rank in the United States Navy or the United States Coast Guard; below lieutenant junior grade,ensign.n.01
arnold,"('Arnold', 'Matthew_Arnold')",Polysemy,English poet and literary critic (1822-1888),arnold.n.01
media,"('metier', 'medium')",Polysemy,an occupation for which you are especially well suited,metier.n.02
bitten,"('bite', 'seize_with_teeth')",Polysemy,"to grip, cut off, or tear with or as if with the teeth or jaws",bite.v.01
kid,"('Kyd', 'Kid', 'Thomas_Kyd', 'Thomas_Kid')",Polysemy,English dramatist (1558-1594),kyd.n.01
chemical,"('chemical', 'chemical_substance')",Polysemy,material produced by or used in a reaction involving changes in atoms or molecules,chemical.n.01
swept,"('sweep', 'broom')",Polysemy,sweep with a broom or as if with a broom,sweep.v.03
caring,"('caring',)",Not a Polysemy,feeling and exhibiting concern and empathy for others,caring.s.01
envoy,"('emissary', 'envoy')",Polysemy,someone sent on a mission to represent the interests of someone else,emissary.n.01
remember,"('remember', 'think_of')",Polysemy,keep in mind for attention or consideration,remember.v.02
corner,"('corner',)",Not a Polysemy,a projecting part where two sides or edges meet,corner.n.09
defines,"('specify', 'define', 'delineate', 'delimit', 'delimitate')",Polysemy,determine the essential quality of,specify.v.03
